user_id,age,account_tier,loyalty_score
user_0297,63,Platinum,0.82
user_0298,30,Gold,0.36
user_0299,51,Silver,0.02
user_0300,45,Platinum,0.88
user_0301,62,Gold,0.89
user_0302,55,Platinum,0.36
user_0303,47,Gold,0.89
user_0304,76,Silver,0.44
user_0305,62,Platinum,0.88
user_0306,39,Silver,0.78
user_0307,24,Gold,0.51
user_0308,45,Gold,0.49
user_0309,28,Gold,0.04
user_0310,67,Gold,0.93
user_0311,38,Gold,0.04
user_0312,38,Platinum,0.61
user_0313,47,Gold,0.33
user_0314,33,Platinum,0.9
user_0315,63,Silver,0.78
user_0316,36,Platinum,0.71
user_0317,78,Platinum,0.54
user_0318,38,Gold,0.08
user_0319,45,Silver,0.11
user_0320,71,Silver,0.35
user_0321,72,Gold,0.34
user_0322,38,Platinum,0.16
user_0323,59,Platinum,0.03
user_0324,32,Silver,0.95
user_0325,66,Platinum,0.54
user_0326,46,Platinum,0.15
user_0327,35,Gold,0.83
user_0328,35,Platinum,0.66
user_0329,22,Silver,0.75
user_0330,61,Silver,0.1
user_0331,71,Platinum,0.18
user_0332,27,Platinum,0.51
user_0333,43,Platinum,0.98
user_0334,48,Platinum,0.02
user_0335,74,Platinum,0.06
user_0336,62,Silver,0.16
user_0337,22,Platinum,0.58
user_0338,42,Silver,0.93
user_0339,70,Silver,0.28
user_0340,42,Platinum,0.17
user_0341,42,Silver,0.55
user_0342,48,Platinum,0.9
user_0343,76,Silver,0.52
user_0344,62,Platinum,0.11
user_0345,32,Platinum,0.72
user_0346,78,Gold,0.26
user_0347,79,Gold,0.93
user_0348,22,Silver,0.72
user_0349,78,Platinum,0.85
user_0350,75,Platinum,0.46
user_0351,60,Platinum,0.25
user_0352,41,Platinum,0.82
user_0353,66,Gold,0.98
user_0354,30,Silver,0.93
user_0355,18,Gold,0.24
user_0356,34,Gold,0.22
user_0357,34,Silver,0.1
user_0358,18,Platinum,0.65
user_0359,66,Platinum,0.3
user_0360,64,Platinum,0.57
user_0361,29,Platinum,0.64
user_0362,23,Silver,0.76
user_0363,75,Gold,0.77
user_0364,20,Silver,0.5
user_0365,32,Platinum,0.85
user_0366,36,Silver,0.82
user_0367,30,Platinum,0.25
user_0368,63,Gold,0.44
user_0369,55,Gold,0.09
user_0370,19,Gold,0.75
user_0371,53,Platinum,0.91
user_0372,20,Silver,0.45
user_0373,64,Platinum,0.71
user_0374,60,Silver,0.18
user_0375,24,Platinum,0.07
user_0376,44,Silver,0.5
user_0377,65,Platinum,0.23
user_0378,52,Silver,0.97
user_0379,21,Silver,1.0
user_0380,78,Silver,0.67
user_0381,75,Silver,1.0
user_0382,50,Platinum,0.56
user_0383,71,Platinum,0.76
user_0384,57,Platinum,0.46
user_0385,39,Gold,0.89
user_0386,63,Silver,0.72
user_0387,23,Gold,0.14
user_0388,66,Platinum,0.48
user_0389,45,Platinum,0.4
user_0390,43,Silver,0.6
user_0391,31,Gold,0.51
user_0392,34,Silver,0.07
user_0393,49,Silver,0.84
user_0394,39,Silver,0.2
user_0395,25,Gold,0.13
user_0396,22,Gold,0.31
user_0397,55,Gold,0.23
user_0398,77,Platinum,0.15
user_0399,78,Silver,0.12
user_0400,35,Silver,0.18
user_0401,24,Platinum,0.66
user_0402,27,Gold,0.03
user_0403,77,Silver,0.39
user_0404,76,Gold,0.95
user_0405,47,Gold,0.17
user_0406,67,Gold,0.44
user_0407,54,Silver,0.5
user_0408,45,Silver,0.57
user_0409,72,Gold,0.93
user_0410,68,Silver,0.74
user_0411,35,Gold,0.04
user_0412,66,Gold,0.09
user_0413,45,Gold,0.66
user_0414,51,Gold,0.41
user_0415,55,Platinum,0.92
user_0416,20,Gold,0.74
user_0417,72,Gold,0.45
user_0418,77,Platinum,0.8
user_0419,66,Gold,0.55
user_0420,22,Silver,0.17
user_0421,28,Platinum,0.25
user_0422,26,Platinum,0.46
user_0423,78,Platinum,0.35
user_0424,55,Platinum,0.22
user_0425,47,Silver,0.98
user_0426,43,Silver,0.29
user_0427,20,Gold,0.78
user_0428,37,Silver,0.23
user_0429,48,Platinum,0.44
user_0430,33,Gold,0.23
user_0431,37,Gold,0.42
user_0432,33,Gold,0.56
user_0433,75,Silver,0.72
user_0434,53,Platinum,0.78
user_0435,25,Platinum,0.58
user_0436,42,Gold,0.5
user_0437,53,Gold,0.04
user_0438,66,Silver,0.86
user_0439,60,Platinum,0.14
user_0440,67,Platinum,0.39
user_0441,50,Platinum,0.01
user_0442,77,Gold,0.03
user_0443,31,Platinum,0.08
user_0444,75,Platinum,0.79
user_0445,56,Platinum,0.34
user_0446,18,Gold,0.14
user_0447,54,Gold,0.76
user_0448,79,Platinum,0.56
user_0449,33,Gold,0.22
user_0450,34,Platinum,0.44
user_0451,57,Silver,0.0
user_0452,48,Silver,0.63
user_0453,73,Silver,0.66
user_0454,21,Silver,0.7
user_0455,68,Platinum,0.49
user_0456,67,Platinum,0.33
user_0457,28,Platinum,0.68
user_0458,78,Silver,0.43
user_0459,73,Silver,0.48
user_0460,59,Gold,0.05
user_0461,77,Silver,0.14
user_0462,22,Platinum,0.42
user_0463,74,Silver,0.66
user_0464,71,Silver,0.23
user_0465,41,Platinum,0.61
user_0466,42,Silver,0.15
user_0467,30,Platinum,0.46
user_0468,73,Silver,0.67
user_0469,54,Silver,0.66
user_0470,52,Silver,0.81
user_0471,56,Platinum,0.63
user_0472,79,Silver,0.3
user_0473,18,Gold,0.39
user_0474,42,Platinum,0.97
user_0475,78,Gold,0.64
user_0476,63,Gold,0.45
user_0477,77,Gold,0.72
user_0478,32,Gold,0.81
user_0479,29,Platinum,0.98
user_0480,62,Silver,0.29
user_0481,44,Platinum,0.97
user_0482,37,Platinum,0.67
user_0483,39,Platinum,0.03
user_0484,38,Gold,0.37
user_0485,27,Gold,0.88
user_0486,37,Gold,0.9
user_0487,20,Platinum,0.28
user_0488,63,Gold,0.13
user_0489,21,Silver,0.99
user_0490,35,Silver,0.99
user_0491,18,Platinum,0.32
user_0492,25,Gold,0.76
user_0493,71,Platinum,0.27
user_0494,55,Silver,0.5
user_0495,54,Platinum,0.9
user_0496,47,Platinum,0.06
user_0497,30,Gold,0.92
user_0498,58,Silver,0.82
user_0499,20,Silver,0.85
user_0500,27,Silver,0.74
user_0501,63,Platinum,0.55
user_0502,58,Gold,0.93
user_0503,44,Gold,0.63
user_0504,66,Platinum,0.55
user_0505,56,Gold,0.57
user_0506,48,Platinum,0.23
user_0507,45,Gold,0.3
user_0508,30,Platinum,0.89
user_0509,45,Silver,0.63
user_0510,71,Gold,0.48
user_0511,59,Silver,0.76
user_0512,78,Platinum,0.28
user_0513,18,Gold,0.97
user_0514,20,Platinum,0.74
user_0515,56,Silver,0.54
user_0516,49,Silver,0.34
user_0517,23,Platinum,0.06
user_0518,24,Platinum,0.08
user_0519,38,Gold,0.76
user_0520,49,Gold,0.62
user_0521,75,Silver,0.67
user_0522,66,Gold,0.35
user_0523,58,Gold,0.71
user_0524,61,Platinum,0.95
user_0525,40,Platinum,0.88
user_0526,30,Gold,0.87
user_0527,42,Silver,0.45
user_0528,71,Silver,0.47
user_0529,49,Platinum,0.67
user_0530,42,Gold,0.66
user_0531,44,Platinum,0.31
user_0532,73,Silver,0.23
user_0533,50,Platinum,0.91
user_0534,64,Platinum,0.17
user_0535,42,Silver,0.12
user_0536,40,Silver,0.14
user_0537,78,Platinum,0.91
user_0538,23,Gold,0.58
user_0539,30,Silver,0.28
user_0540,30,Silver,0.21
user_0541,52,Platinum,0.31
user_0542,32,Gold,0.02
user_0543,55,Platinum,0.99
user_0544,65,Silver,0.37
user_0545,22,Silver,0.82
user_0546,71,Gold,0.17
user_0547,79,Platinum,0.57
user_0548,37,Gold,0.74
user_0549,46,Platinum,0.32
user_0550,47,Platinum,0.59
user_0551,20,Silver,1.0
user_0552,50,Gold,0.69
user_0553,68,Gold,0.86
user_0554,21,Silver,0.31
user_0555,55,Platinum,0.91
user_0556,48,Platinum,0.66
user_0557,34,Platinum,0.84
user_0558,30,Platinum,0.18
user_0559,35,Silver,0.37
user_0560,55,Platinum,0.01
user_0561,48,Gold,0.99
user_0562,79,Silver,0.76
user_0563,60,Platinum,0.58
user_0564,41,Gold,0.37
user_0565,21,Gold,0.69
user_0566,48,Platinum,0.34
user_0567,19,Platinum,0.87
user_0568,49,Silver,0.86
user_0569,18,Gold,0.71
user_0570,31,Silver,0.33
user_0571,74,Silver,0.35
user_0572,28,Silver,0.67
user_0573,28,Platinum,0.6
user_0574,27,Silver,0.1
user_0575,20,Silver,0.3
user_0576,68,Silver,0.18
user_0577,71,Platinum,0.23
user_0578,75,Silver,0.95
user_0579,70,Platinum,0.55
user_0580,72,Platinum,0.09
user_0581,73,Gold,0.76
user_0582,70,Silver,0.1
user_0583,39,Platinum,0.18
user_0584,58,Gold,0.1
user_0585,70,Silver,0.0
user_0586,49,Silver,0.1
user_0587,77,Platinum,0.43
user_0588,20,Gold,0.23
user_0589,78,Gold,0.55
user_0590,62,Gold,0.1
user_0591,53,Silver,0.81
user_0592,45,Gold,0.61
user_0593,74,Gold,0.57
user_0594,28,Gold,0.87
user_0595,31,Platinum,0.26
user_0596,74,Platinum,0.93
user_0597,47,Gold,0.77
user_0598,44,Platinum,0.18
user_0599,20,Silver,0.12
user_0600,29,Gold,0.21
user_0601,46,Silver,0.85
user_0602,78,Silver,0.09
user_0603,34,Silver,0.46
user_0604,32,Platinum,0.02
user_0605,20,Platinum,0.51
user_0606,28,Silver,0.02
user_0607,39,Silver,0.37
user_0608,44,Silver,0.44
user_0609,19,Platinum,0.14
user_0610,25,Platinum,0.41
user_0611,56,Platinum,0.14
user_0612,39,Platinum,0.36
user_0613,49,Silver,0.98
user_0614,37,Gold,0.28
user_0615,52,Silver,0.56
user_0616,79,Silver,0.46
user_0617,41,Platinum,0.71
user_0618,48,Platinum,0.92
user_0619,75,Gold,0.91
user_0620,54,Gold,0.13
user_0621,74,Silver,0.24
user_0622,54,Gold,0.43
user_0623,22,Platinum,0.78
user_0624,23,Gold,0.28
user_0625,26,Silver,0.26
user_0626,29,Platinum,0.51
user_0627,41,Silver,0.37
user_0628,31,Silver,0.6
user_0629,24,Gold,0.57
user_0630,53,Gold,0.31
user_0631,23,Silver,0.09
user_0632,32,Silver,0.71
user_0633,40,Silver,0.75
user_0634,60,Silver,0.38
user_0635,55,Silver,0.03
user_0636,61,Gold,0.81
user_0637,49,Platinum,0.3
user_0638,27,Gold,0.53
user_0639,77,Silver,0.97
user_0640,53,Gold,0.22
user_0641,20,Gold,0.54
user_0642,75,Platinum,0.77
user_0643,66,Silver,0.77
user_0644,60,Silver,0.8
user_0645,53,Silver,0.31
user_0646,47,Gold,0.06
user_0647,77,Gold,0.3
user_0648,55,Gold,0.51
user_0649,48,Gold,0.91
user_0650,78,Gold,0.27
user_0651,78,Gold,0.7
user_0652,42,Silver,0.42
user_0653,37,Platinum,0.73
user_0654,59,Silver,0.24
user_0655,21,Silver,0.52
user_0656,30,Silver,0.13
user_0657,69,Platinum,0.38
user_0658,41,Platinum,0.1
user_0659,68,Platinum,0.73
user_0660,33,Silver,0.96
user_0661,40,Gold,0.95
user_0662,28,Gold,0.25
user_0663,18,Silver,0.63
user_0664,42,Gold,0.46
user_0665,78,Silver,0.56
user_0666,28,Gold,0.16
user_0667,50,Silver,0.03
user_0668,53,Silver,0.35
user_0669,47,Gold,0.31
user_0670,47,Platinum,0.48
user_0671,59,Platinum,0.43
user_0672,71,Gold,0.88
user_0673,79,Platinum,0.69
user_0674,44,Platinum,0.2
user_0675,46,Gold,0.44
user_0676,33,Gold,0.84
user_0677,26,Gold,0.19
user_0678,18,Silver,0.64
user_0679,41,Gold,0.08
user_0680,26,Platinum,0.01
user_0681,26,Platinum,0.21
user_0682,58,Silver,0.76
user_0683,26,Platinum,0.16
user_0684,19,Gold,0.99
user_0685,40,Gold,0.34
user_0686,48,Platinum,0.05
user_0687,30,Gold,0.73
user_0688,38,Silver,0.73
user_0689,65,Gold,0.51
user_0690,78,Silver,0.04
user_0691,36,Platinum,0.87
user_0692,49,Gold,0.55
user_0693,79,Platinum,0.29
user_0694,37,Platinum,0.82
user_0695,37,Platinum,0.38
user_0696,28,Silver,0.9
user_0697,43,Gold,0.95
user_0698,62,Platinum,0.9
user_0699,55,Platinum,0.31
user_0700,60,Platinum,0.6
user_0701,24,Silver,0.75
user_0702,69,Silver,0.68
user_0703,75,Gold,0.29
user_0704,22,Platinum,0.26
user_0705,34,Silver,0.79
user_0706,71,Silver,0.18
user_0707,23,Platinum,0.49
user_0708,34,Platinum,0.27
user_0709,58,Platinum,0.9
user_0710,62,Platinum,0.6
user_0711,67,Platinum,0.92
user_0712,71,Silver,0.56
user_0713,21,Platinum,0.36
user_0714,41,Gold,0.65
user_0715,39,Gold,0.26
user_0716,38,Platinum,0.34
user_0717,29,Silver,0.42
user_0718,62,Gold,0.31
user_0719,23,Platinum,0.93
user_0720,61,Gold,0.87
user_0721,22,Platinum,0.69
user_0722,79,Platinum,0.71
user_0723,42,Silver,0.42
user_0724,24,Platinum,0.34
user_0725,32,Gold,0.43
user_0726,50,Silver,0.91
user_0727,52,Platinum,0.33
user_0728,28,Platinum,0.76
user_0729,51,Silver,0.4
user_0730,61,Platinum,0.55
user_0731,70,Gold,0.48
user_0732,28,Silver,0.83
user_0733,71,Gold,0.84
user_0734,32,Gold,0.75
user_0735,18,Platinum,0.36
user_0736,29,Gold,0.79
user_0737,54,Gold,0.38
user_0738,78,Silver,0.32
user_0739,51,Platinum,0.46
user_0740,54,Gold,0.24
user_0741,57,Gold,0.08
user_0742,47,Gold,0.48
user_0743,75,Platinum,0.73
user_0744,64,Gold,0.72
user_0745,74,Gold,0.54
user_0746,59,Platinum,0.58
user_0747,22,Silver,0.59
user_0748,39,Gold,0.55
user_0749,66,Silver,0.08
user_0750,78,Gold,0.44
user_0751,57,Platinum,0.05
user_0752,41,Platinum,0.59
user_0753,74,Silver,0.5
user_0754,38,Gold,0.08
user_0755,27,Platinum,0.96
user_0756,29,Silver,0.69
user_0757,30,Silver,0.92
user_0758,63,Gold,0.27
user_0759,47,Gold,0.28
user_0760,53,Silver,0.3
user_0761,31,Silver,0.09
user_0762,35,Silver,0.52
user_0763,77,Silver,0.68
user_0764,76,Platinum,0.59
user_0765,42,Silver,0.22
user_0766,52,Silver,0.11
user_0767,21,Silver,0.26
user_0768,51,Platinum,0.88
user_0769,62,Gold,0.17
user_0770,79,Platinum,0.77
user_0771,57,Gold,0.63
user_0772,22,Silver,0.97
user_0773,27,Platinum,0.44
user_0774,31,Gold,0.14
user_0775,25,Platinum,0.82
user_0776,40,Silver,0.47
user_0777,56,Platinum,0.39
user_0778,52,Silver,0.33
user_0779,76,Silver,0.93
user_0780,35,Gold,0.83
user_0781,28,Platinum,0.7
user_0782,61,Silver,0.88
user_0783,28,Gold,0.52
user_0784,51,Platinum,0.08
user_0785,58,Gold,0.76
user_0786,49,Gold,0.13
user_0787,66,Platinum,0.39
user_0788,58,Silver,0.17
user_0789,60,Platinum,0.68
user_0790,40,Gold,0.91
user_0791,38,Gold,0.85
user_0792,60,Gold,0.97
user_0793,35,Platinum,0.93
user_0794,72,Silver,0.39
user_0795,30,Silver,0.32
user_0796,36,Silver,0.13
user_0797,18,Platinum,0.8
user_0798,55,Silver,0.46
user_0799,56,Gold,0.35
user_0800,74,Platinum,0.88
user_0801,40,Platinum,0.86
user_0802,26,Silver,0.82
user_0803,19,Silver,0.38
user_0804,70,Silver,0.53
user_0805,34,Silver,0.16
user_0806,71,Silver,0.85
user_0807,52,Platinum,0.16
user_0808,54,Platinum,0.3
user_0809,68,Platinum,0.61
user_0810,77,Platinum,0.31
user_0811,76,Platinum,0.66
user_0812,59,Gold,0.89
user_0813,54,Platinum,0.22
user_0814,56,Gold,0.43
user_0815,73,Gold,0.51
user_0816,25,Silver,0.35
user_0817,37,Platinum,0.08
user_0818,29,Platinum,0.95
user_0819,61,Platinum,0.38
user_0820,58,Silver,0.19
user_0821,78,Gold,0.04
user_0822,18,Silver,0.02
user_0823,44,Silver,0.79
user_0824,32,Silver,0.61
user_0825,23,Gold,0.23
user_0826,24,Silver,0.39
user_0827,44,Platinum,0.67
user_0828,48,Gold,0.8
user_0829,79,Platinum,0.84
user_0830,44,Platinum,0.49
user_0831,23,Gold,0.69
user_0832,46,Gold,0.16
user_0833,77,Platinum,0.78
user_0834,67,Silver,0.58
user_0835,45,Gold,0.75
user_0836,43,Silver,0.3
user_0837,36,Silver,0.28
user_0838,53,Platinum,0.67
user_0839,66,Gold,0.46
user_0840,78,Silver,0.7
user_0841,59,Silver,0.15
user_0842,44,Platinum,0.57
user_0843,59,Platinum,0.67
user_0844,35,Platinum,0.85
user_0845,21,Silver,0.61
user_0846,55,Silver,0.26
user_0847,19,Gold,0.78
user_0848,50,Gold,0.65
user_0849,26,Gold,0.71
user_0850,22,Gold,0.65
user_0851,73,Platinum,0.58
user_0852,24,Platinum,0.97
user_0853,77,Gold,0.41
user_0854,24,Gold,0.98
user_0855,36,Platinum,0.49
user_0856,19,Silver,0.64
user_0857,59,Platinum,0.06
user_0858,49,Platinum,0.68
user_0859,35,Platinum,0.12
user_0860,61,Gold,0.41
user_0861,24,Platinum,0.66
user_0862,23,Platinum,0.53
user_0863,28,Gold,0.34
user_0864,44,Gold,0.49
user_0865,37,Platinum,0.06
user_0866,25,Platinum,0.81
user_0867,71,Silver,0.31
user_0868,38,Gold,0.59
user_0869,39,Gold,0.61
user_0870,46,Gold,0.59
user_0871,42,Gold,0.32
user_0872,32,Gold,0.75
user_0873,74,Gold,0.6
user_0874,27,Gold,0.26
user_0875,50,Platinum,0.02
user_0876,27,Silver,0.78
user_0877,78,Silver,0.82
user_0878,38,Platinum,0.44
user_0879,20,Silver,0.6
user_0880,22,Platinum,0.37
user_0881,45,Gold,0.15
user_0882,41,Gold,0.3
user_0883,78,Platinum,0.35
user_0884,33,Platinum,0.47
user_0885,59,Platinum,0.01
user_0886,65,Gold,0.38
user_0887,23,Gold,0.85
user_0888,35,Platinum,0.07
user_0889,26,Platinum,0.73
user_0890,66,Silver,0.49
user_0891,67,Silver,0.01
user_0892,71,Gold,0.05
user_0893,79,Gold,0.04
user_0894,61,Platinum,0.71
user_0895,48,Platinum,0.13
user_0896,34,Platinum,0.75
user_0897,44,Silver,0.2
user_0898,67,Gold,0.73
user_0899,61,Silver,0.78
user_0900,77,Silver,0.07
user_0901,21,Platinum,0.67
user_0902,47,Gold,0.99
user_0903,36,Platinum,0.96
user_0904,46,Silver,0.24
user_0905,68,Platinum,0.17
user_0906,38,Gold,0.44
user_0907,28,Gold,0.28
user_0908,41,Silver,0.13
user_0909,38,Gold,0.18
