ACTION_ID,VALUE,MEMBERSHIP_LEVEL,CREATION_TIMESTAMP
ACTION_0070,9894,Platinum,1741832151483
ACTION_0071,3518,Gold,1720812164378
ACTION_0072,,Platinum,1728628429173
ACTION_0073,8925,Gold,1726438409408
ACTION_0074,292,Gold,1724589769624
ACTION_0075,2947,,1721673111127
ACTION_0076,418,Bronze,1738586403533
ACTION_0077,3425,Gold,1733255445139
ACTION_0078,3034,Platinum,1721539567499
ACTION_0079,4209,Bronze,1732831794038
ACTION_0080,9277,Gold,1728036426594
ACTION_0081,351,Gold,1742368863077
ACTION_0082,6133,Silver,1743114821200
ACTION_0083,4862,,1741950357589
ACTION_0084,2272,Bronze,1732961309410
ACTION_0085,2762,Gold,1747479006261
ACTION_0086,5695,Platinum,1721665007800
ACTION_0087,4872,Silver,1725599100350
ACTION_0088,5309,,1728393489916
ACTION_0089,8713,,1743226287309
ACTION_0090,,Gold,1748282555448
ACTION_0091,8452,Silver,1748954882508
ACTION_0092,2079,Platinum,1729599155706
ACTION_0093,5838,Gold,1748796376509
ACTION_0094,,,1731141638034
ACTION_0095,2247,,1749735178439
ACTION_0096,8151,Silver,1723727227700
ACTION_0097,172,Bronze,1725937601426
ACTION_0098,2457,Gold,1747545336189
ACTION_0099,2029,Silver,1721588131115
ACTION_0100,1617,Platinum,1743137618588
ACTION_0101,5156,,1727978127866
ACTION_0102,7122,Bronze,1737799299916
ACTION_0103,898,Platinum,1742992410936
ACTION_0104,3218,Silver,1737610445804
ACTION_0105,237,Platinum,1729031247125
ACTION_0106,7358,Silver,1734057079322
ACTION_0107,751,Bronze,1720985487242
ACTION_0108,7310,Silver,1737557533755
ACTION_0109,2716,Silver,1734179381196
ACTION_0110,5314,Bronze,1749445783713
ACTION_0111,,Gold,1721298541119
ACTION_0112,1995,Platinum,1729883186200
ACTION_0113,,Gold,1725429063248
ACTION_0114,502,Platinum,1736490614629
ACTION_0115,5838,,1730990022023
ACTION_0116,9560,Silver,1724196097693
ACTION_0117,1760,Gold,1744810036175
ACTION_0118,8368,Platinum,1743404000286
ACTION_0119,3576,Bronze,1734490337905
ACTION_0120,7193,Platinum,1727559671528
ACTION_0121,3933,Gold,1731933295236
ACTION_0122,,,1749721199172
ACTION_0123,6701,,1733678497887
ACTION_0124,,Gold,1731026715748
ACTION_0125,7033,Bronze,1736681343731
ACTION_0126,7641,,1731275115958
ACTION_0127,1626,,1726657445556
ACTION_0128,7640,,1748108685441
ACTION_0129,8137,Silver,1739003599021
ACTION_0130,6291,Platinum,1746376890749
ACTION_0131,2830,Bronze,1734720817719
ACTION_0132,4723,Silver,1724551018264
ACTION_0133,6518,Platinum,1722350755000
ACTION_0134,3076,Bronze,1750116125587
ACTION_0135,9609,,1747449018645
ACTION_0136,5247,,1727415437440
ACTION_0137,2288,Silver,1727079244380
ACTION_0138,8042,,1731835265190
ACTION_0139,,Gold,1742304484976
ACTION_0140,3158,Silver,1749482034575
ACTION_0141,8453,Bronze,1745745238022
ACTION_0142,9801,Gold,1721159961449
ACTION_0143,2391,Gold,1749271563723
ACTION_0144,2084,Gold,1746530069992
ACTION_0145,1069,Platinum,1736586428860
ACTION_0146,2939,Silver,1742521124365
ACTION_0147,1139,Gold,1745929733581
ACTION_0148,6796,Platinum,1719666222811
ACTION_0149,8012,,1748433428778
ACTION_0150,4750,Gold,1722840117044
ACTION_0151,1478,Silver,1740558464204
ACTION_0152,7384,Platinum,1721663412099
ACTION_0153,7182,Silver,1748016868991
ACTION_0154,,Gold,1735836254084
ACTION_0155,5480,Silver,1745201359237
ACTION_0156,9159,Silver,1734744303507
ACTION_0157,2987,Platinum,1749190950514
ACTION_0158,1584,Gold,1740479638019
ACTION_0159,9785,Bronze,1742565516632
ACTION_0160,3482,,1732686188521
ACTION_0161,7576,,1721009674583
ACTION_0162,1867,Platinum,1737576253136
ACTION_0163,,Silver,1719513337612
ACTION_0164,7730,Bronze,1749607844573
ACTION_0165,6913,Silver,1732916881121
ACTION_0166,2343,Gold,1730256730173
ACTION_0167,3398,Bronze,1740833731404
ACTION_0168,9618,Bronze,1749520866027
ACTION_0169,5584,,1729871382381
ACTION_0170,,Silver,1740756091911
ACTION_0171,7216,Platinum,1748954387170
ACTION_0172,8315,Platinum,1724794024659
ACTION_0173,,Bronze,1737527031314
ACTION_0174,7987,,1729508419847
ACTION_0175,6234,Bronze,1737605903372
ACTION_0176,4913,,1744700325609
ACTION_0177,327,Silver,1718903423520
ACTION_0178,5333,Bronze,1727901770936
ACTION_0179,2077,Platinum,1731368822113
ACTION_0180,7888,Silver,1740974990693
ACTION_0181,4538,Platinum,1747611445471
ACTION_0182,6475,Gold,1745601241255
ACTION_0183,1258,Bronze,1724812695896
ACTION_0184,5486,Platinum,1748443648292
ACTION_0185,,,1748572464216
ACTION_0186,5787,Platinum,1730174395645
ACTION_0187,8905,Gold,1724395228443
ACTION_0188,3438,Gold,1723534088623
ACTION_0189,6616,Platinum,1720125095131
ACTION_0190,8397,Platinum,1729763984696
ACTION_0191,3635,Bronze,1728515862007
ACTION_0192,,Gold,1748049174680
ACTION_0193,6879,Platinum,1737391799634
ACTION_0194,2185,,1723769180313
ACTION_0195,3552,Platinum,1725108739503
ACTION_0196,2411,Silver,1737868000608
ACTION_0197,5963,Silver,1743256796302
ACTION_0198,9740,Gold,1729825374527
ACTION_0199,5232,Silver,1744954605073
ACTION_0200,1342,Bronze,1721537433407
ACTION_0201,7713,,1742724861154
ACTION_0202,3381,Gold,1734290909482
ACTION_0203,1890,,1719864356621
ACTION_0204,,Platinum,1749021791471
ACTION_0205,6497,Gold,1728573798544
ACTION_0206,2290,Bronze,1742985765164
ACTION_0207,7590,Bronze,1736832047791
ACTION_0208,7728,Bronze,1745667053255
ACTION_0209,5744,,1743233643208
ACTION_0210,8409,Platinum,1730132692920
ACTION_0211,9834,Bronze,1728947211051
ACTION_0212,7111,Platinum,1732919412598
ACTION_0213,3521,Bronze,1749529508765
ACTION_0214,1191,Bronze,1719840457429
ACTION_0215,,Silver,1736383037547
ACTION_0216,5541,Gold,1745807689774
ACTION_0217,931,Platinum,1736736438006
ACTION_0218,2448,Silver,1720498004707
ACTION_0219,420,,1737729949981
ACTION_0220,8083,Platinum,1728580923519
ACTION_0221,9285,Silver,1747576759188
ACTION_0222,9943,,1734071978170
ACTION_0223,4259,Bronze,1719550342723
ACTION_0224,7081,Gold,1720313059470
ACTION_0225,8709,Bronze,1737684866680
ACTION_0226,6403,Silver,1720302598754
ACTION_0227,405,Platinum,1734863762641
ACTION_0228,635,Gold,1731791591957
ACTION_0229,9683,Gold,1730984299900
ACTION_0230,3642,Silver,1736581402240
ACTION_0231,5444,Bronze,1729536940171
ACTION_0232,8405,Platinum,1736413660292
ACTION_0233,7383,Platinum,1748025337085
ACTION_0234,1020,Bronze,1730080147187
ACTION_0235,2332,,1719906618618
ACTION_0236,4119,Silver,1723834310962
ACTION_0237,,Gold,1736233921356
ACTION_0238,1137,Gold,1741114403934
ACTION_0239,7724,Bronze,1735287763188
ACTION_0240,750,Bronze,1749734788903
ACTION_0241,3058,Silver,1736124495723
ACTION_0242,7398,Platinum,1747918647536
ACTION_0243,3345,,1729417593810
ACTION_0244,2051,Gold,1724910567574
ACTION_0245,1414,Silver,1728573270375
ACTION_0246,7178,Platinum,1732470128295
ACTION_0247,,Platinum,1729863378701
ACTION_0248,7122,,1724403760658
ACTION_0249,4380,Gold,1749588350660
ACTION_0250,9432,Silver,1750372084450
ACTION_0251,8654,Gold,1719485922775
ACTION_0252,6159,Bronze,1721465842372
ACTION_0253,8090,Platinum,1722242404932
ACTION_0254,9200,Silver,1746783029587
ACTION_0255,3676,Silver,1739147196327
ACTION_0256,5822,Silver,1747057901586
ACTION_0257,2278,Platinum,1726140452504
ACTION_0258,3774,Silver,1721521060670
ACTION_0259,1916,,1739101854242
ACTION_0260,7112,Platinum,1739913503283
ACTION_0261,,,1744044840883
ACTION_0262,5337,Bronze,1740544443468
ACTION_0263,384,Gold,1748005827266
ACTION_0264,2554,Gold,1747957468314
ACTION_0265,7658,Bronze,1721459243385
ACTION_0266,,Bronze,1725311686914
ACTION_0267,3981,Platinum,1718910864041
ACTION_0268,7253,Silver,1737158917663
ACTION_0269,3388,Platinum,1749754063307
ACTION_0270,391,Silver,1738996844718
ACTION_0271,2837,Gold,1748441360160
ACTION_0272,1755,Silver,1722695244165
ACTION_0273,3905,Gold,1736185503846
ACTION_0274,2388,Platinum,1735180490114
ACTION_0275,3961,,1733700522169
ACTION_0276,,Platinum,1727578674915
ACTION_0277,,Bronze,1723849303722
ACTION_0278,,Bronze,1727041214179
ACTION_0279,9931,Silver,1738935066701
ACTION_0280,3588,Bronze,1727379814169
ACTION_0281,,Gold,1740899426228
ACTION_0282,9277,Silver,1732996379502
ACTION_0283,383,Gold,1731500058176
ACTION_0284,4569,Silver,1738220542218
ACTION_0285,4548,Silver,1742638465850
ACTION_0286,6812,Platinum,1739230373287
ACTION_0287,119,Silver,1734850156328
ACTION_0288,1488,Gold,1741569793280
ACTION_0289,8454,Platinum,1743772300710
ACTION_0290,245,,1732011419575
ACTION_0291,,Bronze,1740345346746
ACTION_0292,4651,Platinum,1719997460193
ACTION_0293,1798,Platinum,1729696084658
ACTION_0294,2417,Platinum,1739544589420
ACTION_0295,5549,Gold,1729222485511
ACTION_0296,4203,Platinum,1746459406005
ACTION_0297,518,Gold,1722298847020
ACTION_0298,7945,Platinum,1749571332649
ACTION_0299,7424,,1742169589915
ACTION_0300,1459,Bronze,1729867209181
ACTION_0301,8254,Platinum,1737871650235
ACTION_0302,,Platinum,1742569247689
ACTION_0303,,Platinum,1741872478534
ACTION_0304,3204,Platinum,1747196866100
ACTION_0305,8512,Silver,1718929581413
ACTION_0306,5595,Silver,1746943950294
ACTION_0307,9392,Platinum,1729243426069
ACTION_0308,7593,,1735015472027
ACTION_0309,,Silver,1740499599695
ACTION_0310,1240,Gold,1743038651765
ACTION_0311,7122,Gold,1742698156396
ACTION_0312,3186,,1736401692374
ACTION_0313,8553,Platinum,1745469973008
ACTION_0314,9862,Platinum,1742950293422
ACTION_0315,,Bronze,1724830702113
ACTION_0316,,Gold,1747627914264
ACTION_0317,696,Gold,1737771921179
ACTION_0318,5920,Platinum,1747165774166
ACTION_0319,988,Silver,1719106306141
ACTION_0320,3428,Bronze,1744538330039
ACTION_0321,7761,Gold,1721221305988
ACTION_0322,1904,,1727124229314
ACTION_0323,,Bronze,1743508626862
ACTION_0324,7078,Gold,1745988509374
ACTION_0325,928,,1746784136540
ACTION_0326,5196,Bronze,1732528281275
ACTION_0327,9066,Platinum,1747317640331
ACTION_0328,4883,Bronze,1734179771201
ACTION_0329,6785,Gold,1736913344065
ACTION_0330,5382,Silver,1727685209856
ACTION_0331,,,1734139742366
ACTION_0332,2269,Platinum,1748034120403
ACTION_0333,7036,Gold,1732894286271
ACTION_0334,8255,,1723865737200
ACTION_0335,,Bronze,1747755450515
ACTION_0336,6628,Bronze,1728226699384
ACTION_0337,7954,Platinum,1728486533978
ACTION_0338,8892,Platinum,1734726250089
ACTION_0339,8503,Platinum,1743313753291
ACTION_0340,1202,Platinum,1731211651198
ACTION_0341,7232,Bronze,1722868792060
ACTION_0342,1425,Bronze,1720777995821
ACTION_0343,3151,Silver,1744848870406
ACTION_0344,9429,Platinum,1719057477330
ACTION_0345,3735,Silver,1743182277284
ACTION_0346,9871,Silver,1741280702927
ACTION_0347,4078,Bronze,1746404190255
ACTION_0348,7322,Bronze,1738849212774
ACTION_0349,4544,Silver,1721105273905
ACTION_0350,1600,Bronze,1749501938225
ACTION_0351,8308,Gold,1718925422263
ACTION_0352,2118,Bronze,1720133893442
ACTION_0353,7851,,1725671436099
ACTION_0354,2721,Silver,1742709995418
ACTION_0355,370,Bronze,1726005461918
ACTION_0356,7883,Bronze,1741841667367
ACTION_0357,832,Bronze,1722990495775
ACTION_0358,,Bronze,1736193654127
ACTION_0359,384,Silver,1739718842373
ACTION_0360,3895,Silver,1740106861662
ACTION_0361,2599,Gold,1736562899883
ACTION_0362,8369,,1728879487073
ACTION_0363,419,,1731534719253
ACTION_0364,931,Platinum,1744903264426
ACTION_0365,4606,Silver,1730527222788
ACTION_0366,479,Platinum,1736631324795
ACTION_0367,4866,Gold,1749549818188
ACTION_0368,9155,Bronze,1747432395311
ACTION_0369,3235,Bronze,1735512616369
ACTION_0370,7202,,1737311229883
ACTION_0371,7454,Silver,1747839848874
ACTION_0372,4959,Gold,1744236350345
ACTION_0373,8625,Bronze,1734403239274
ACTION_0374,,Bronze,1728660273855
ACTION_0375,7579,Gold,1742851801372
ACTION_0376,3649,Platinum,1729849141049
ACTION_0377,,Bronze,1722714666789
ACTION_0378,2363,Silver,1734726636544
ACTION_0379,292,Silver,1720905607360
ACTION_0380,5318,Bronze,1736229427479
ACTION_0381,4115,Gold,1743365728021
ACTION_0382,9103,Bronze,1731999071042
ACTION_0383,9076,Silver,1732268975305
ACTION_0384,4282,Gold,1721388257746
ACTION_0385,9671,,1744389537725
ACTION_0386,,Bronze,1741235089545
ACTION_0387,9683,Gold,1750189091114
ACTION_0388,5428,,1739789553319
ACTION_0389,7453,Gold,1744543125832
ACTION_0390,4808,,1728599620688
ACTION_0391,9833,Gold,1733319742523
ACTION_0392,5867,Bronze,1740136459297
ACTION_0393,,Bronze,1737966501620
ACTION_0394,5117,Platinum,1727565972096
ACTION_0395,5394,Gold,1731002328409
ACTION_0396,3725,Gold,1749182453074
ACTION_0397,8567,Silver,1726385705069
ACTION_0398,8784,Silver,1728655538525
ACTION_0399,1876,Bronze,1730302455923
ACTION_0400,6300,Silver,1725732626115
ACTION_0401,,Platinum,1729321528100
ACTION_0402,493,,1739388375660
ACTION_0403,3167,Gold,1748975227147
ACTION_0404,8254,Platinum,1724179567760
ACTION_0405,1647,Platinum,1731344117152
ACTION_0406,5865,Silver,1726124294147
ACTION_0407,5122,Platinum,1719952147706
ACTION_0408,4835,Gold,1723691031989
ACTION_0409,525,Silver,1744042530956
ACTION_0410,2069,Gold,1739064252690
ACTION_0411,,Platinum,1743927806075
ACTION_0412,3857,Bronze,1722492089190
ACTION_0413,5018,,1724048276207
ACTION_0414,,Bronze,1726209764740
ACTION_0415,216,,1724294544225
ACTION_0416,7856,Bronze,1729522379054
ACTION_0417,8208,Silver,1728883202603
ACTION_0418,6408,Silver,1730407818011
ACTION_0419,5350,,1743317194476
ACTION_0420,2018,Silver,1723034721499
ACTION_0421,2026,Gold,1734314185719
ACTION_0422,4670,Gold,1745256318164
ACTION_0423,4473,Silver,1749511876329
ACTION_0424,3924,Bronze,1731564087621
ACTION_0425,2952,,1733783658943
ACTION_0426,2548,Silver,1736656694505
ACTION_0427,9126,Silver,1740310242653
ACTION_0428,7064,Bronze,1721356934331
ACTION_0429,4119,Bronze,1749537136724
ACTION_0430,5535,Platinum,1739715674607
ACTION_0431,921,Gold,1744484919930
ACTION_0432,2701,Gold,1730376813104
ACTION_0433,3392,Silver,1721724123114
ACTION_0434,210,Silver,1722451788152
ACTION_0435,1507,Silver,1749364983718
ACTION_0436,5283,Platinum,1744905736585
ACTION_0437,,Platinum,1719295684149
ACTION_0438,8539,Gold,1747121613764
ACTION_0439,1911,Bronze,1741897438269
ACTION_0440,903,Bronze,1719472189556
ACTION_0441,819,Silver,1741281750315
ACTION_0442,4274,Bronze,1740416190761
ACTION_0443,,Platinum,1737218454569
ACTION_0444,8607,Gold,1748006336324
ACTION_0445,3145,Platinum,1737908515913
ACTION_0446,537,Gold,1720365027401
ACTION_0447,1833,Gold,1725815916608
ACTION_0448,8369,Platinum,1721046637151
ACTION_0449,6002,,1731803746098
ACTION_0450,9653,Platinum,1733939047019
ACTION_0451,3619,Gold,1746190643359
ACTION_0452,8641,,1743386194494
ACTION_0453,5750,Platinum,1735832976460
ACTION_0454,769,Gold,1741993738421
ACTION_0455,2528,Platinum,1720415017492
ACTION_0456,7105,,1738153723565
ACTION_0457,1748,,1722212749867
ACTION_0458,1687,Platinum,1720713687277
ACTION_0459,7268,Gold,1738516320476
ACTION_0460,6791,Gold,1741771026368
ACTION_0461,7072,,1740441978697
ACTION_0462,,Gold,1746870899973
ACTION_0463,3290,Bronze,1742487067234
ACTION_0464,4567,Bronze,1742406855632
ACTION_0465,6239,Platinum,1749340180961
ACTION_0466,8511,Bronze,1741455732509
ACTION_0467,3230,,1749882824150
ACTION_0468,,Silver,1736445439606
ACTION_0469,6452,,1742514156355
ACTION_0470,532,Gold,1730361995296
ACTION_0471,7493,Bronze,1726333968279
ACTION_0472,1809,Silver,1737426589380
ACTION_0473,4356,Silver,1749474957846
ACTION_0474,5058,,1732867767254
ACTION_0475,6143,Platinum,1737455842536
ACTION_0476,2541,Bronze,1744253557967
ACTION_0477,7380,Silver,1731512700541
ACTION_0478,,Silver,1743401941512
ACTION_0479,2924,Bronze,1736530433192
ACTION_0480,1201,Platinum,1724315557371
ACTION_0481,,Gold,1735574226101
ACTION_0482,2029,Platinum,1749660271652
ACTION_0483,5920,Gold,1748911082371
ACTION_0484,,,1732348464650
ACTION_0485,3489,,1721340032596
ACTION_0486,3600,,1724278700546
ACTION_0487,3355,Platinum,1722881126647
ACTION_0488,1967,Platinum,1722142780297
ACTION_0489,7686,Silver,1721245327224
ACTION_0490,1217,Gold,1727712040673
ACTION_0491,9317,Platinum,1730583346938
ACTION_0492,2158,Bronze,1746144441044
ACTION_0493,9067,Bronze,1722330693678
ACTION_0494,3953,Gold,1728475894811
ACTION_0495,2348,Bronze,1739778320101
ACTION_0496,6440,Bronze,1719804473117
ACTION_0497,1707,Silver,1722904943370
ACTION_0498,4455,Bronze,1725213986008
ACTION_0499,670,Platinum,1742419447392
ACTION_0500,7672,Bronze,1745070985463
ACTION_0501,3342,Silver,1734298087546
ACTION_0502,4978,Silver,1725906504031
ACTION_0503,4304,Silver,1733097065641
ACTION_0504,9861,Platinum,1729632648288
ACTION_0505,7016,Silver,1721750643677
ACTION_0506,3427,Bronze,1745385296393
ACTION_0507,2409,Platinum,1746319807478
ACTION_0508,571,Silver,1735226240534
ACTION_0509,687,,1738580783687
ACTION_0510,1294,Bronze,1749710081348
ACTION_0511,8063,Silver,1723838694390
ACTION_0512,5924,Gold,1741916660379
ACTION_0513,4674,Bronze,1725018327818
ACTION_0514,5595,Gold,1749629406287
ACTION_0515,7206,Bronze,1745865790300
ACTION_0516,6961,,1722122965998
ACTION_0517,1459,Gold,1729837635200
ACTION_0518,2864,Bronze,1732320618182
ACTION_0519,5289,Gold,1736982299429
ACTION_0520,3663,,1750330447842
ACTION_0521,4237,Gold,1740068029121
ACTION_0522,8828,,1733719009049
ACTION_0523,297,Platinum,1744263892982
ACTION_0524,5219,Platinum,1729307075924
ACTION_0525,8926,Gold,1737880002911
ACTION_0526,8616,Platinum,1730465744027
ACTION_0527,6443,Platinum,1740246781044
ACTION_0528,3029,Gold,1746971095618
ACTION_0529,,Platinum,1747360068183
ACTION_0530,6721,Gold,1749833503629
ACTION_0531,9778,Gold,1743166885602
ACTION_0532,7160,Platinum,1726158622883
ACTION_0533,9414,Silver,1733845239626
ACTION_0534,946,Silver,1722765067248
ACTION_0535,8304,Gold,1746270215718
ACTION_0536,6306,Bronze,1744886714292
ACTION_0537,5332,Gold,1729306347726
ACTION_0538,3859,Platinum,1727045682148
ACTION_0539,8855,Platinum,1749093027641
ACTION_0540,8818,,1730382867763
ACTION_0541,5558,Gold,1720836630616
ACTION_0542,8834,,1719074833053
ACTION_0543,4253,Gold,1720926610128
ACTION_0544,1569,Bronze,1750329572461
ACTION_0545,8863,Platinum,1733821390302
ACTION_0546,5259,Silver,1742458925615
ACTION_0547,1922,Silver,1723560627475
ACTION_0548,7648,Silver,1722344673195
ACTION_0549,8018,Gold,1734929892672
ACTION_0550,5687,,1726575798279
ACTION_0551,7596,,1720310911319
ACTION_0552,6285,,1732199500426
ACTION_0553,,,1747150748216
ACTION_0554,4782,Bronze,1734059973911
ACTION_0555,3861,Gold,1743491992504
ACTION_0556,4473,Bronze,1721223842227
ACTION_0557,6887,Platinum,1746243243356
ACTION_0558,4358,Gold,1723716884575
ACTION_0559,6105,,1728718836110
ACTION_0560,3467,Platinum,1740228419575
ACTION_0561,6744,Bronze,1733346862816
ACTION_0562,9272,,1737776633676
ACTION_0563,8771,Silver,1746510208095
ACTION_0564,9493,Silver,1732665966644
ACTION_0565,8233,Silver,1728070624759
ACTION_0566,6965,Gold,1723857301438
ACTION_0567,9375,Bronze,1719304729200
ACTION_0568,,Bronze,1735522123126
ACTION_0569,7914,Gold,1741863354153
ACTION_0570,9574,Platinum,1744686793952
ACTION_0571,979,Platinum,1738449701054
ACTION_0572,3961,Bronze,1734160195760
ACTION_0573,8817,Bronze,1722041960423
ACTION_0574,,Platinum,1728858534290
ACTION_0575,8132,,1741202634843
ACTION_0576,5663,Platinum,1731261966745
ACTION_0577,2343,Platinum,1736184485948
ACTION_0578,6916,,1750367702753
ACTION_0579,5216,Bronze,1743418046447
ACTION_0580,3857,Silver,1725628882113
ACTION_0581,3003,Platinum,1722828047601
ACTION_0582,3441,Platinum,1721933107226
ACTION_0583,,Silver,1724409559810
ACTION_0584,,Gold,1733347301926
ACTION_0585,5818,Silver,1735522258813
ACTION_0586,3461,,1723089403572
ACTION_0587,3467,Bronze,1735520814020
ACTION_0588,8791,,1733655649082
ACTION_0589,591,,1724861910533
ACTION_0590,,Bronze,1720104452016
ACTION_0591,9121,Gold,1720794074993
ACTION_0592,9796,,1732167650334
ACTION_0593,5511,Platinum,1730623331835
ACTION_0594,3103,Silver,1739258382647
ACTION_0595,7294,Platinum,1744965652353
ACTION_0596,4909,Gold,1745135770525
ACTION_0597,4951,Silver,1738383531410
ACTION_0598,4221,,1737446830469
ACTION_0599,7253,Bronze,1732066892063
ACTION_0600,124,,1724513998088
ACTION_0601,3395,Silver,1732202280572
ACTION_0602,2958,Platinum,1740804130729
ACTION_0603,6396,Bronze,1728176079127
ACTION_0604,5876,Platinum,1731261909161
ACTION_0605,9761,,1726113505758
ACTION_0606,7452,Silver,1735576643369
ACTION_0607,6239,Gold,1744082646904
ACTION_0608,9320,Gold,1720735108730
ACTION_0609,8663,Bronze,1729511108219
ACTION_0610,6549,Silver,1732914295427
ACTION_0611,4213,Gold,1733138558438
ACTION_0612,1103,Platinum,1720274629258
ACTION_0613,,Platinum,1722012096313
ACTION_0614,1397,Platinum,1724914461281
ACTION_0615,4782,Silver,1727172045847
ACTION_0616,8342,Bronze,1725508136635
ACTION_0617,2566,Platinum,1740256880281
ACTION_0618,4029,Platinum,1720265621626
ACTION_0619,5893,Gold,1740241065155
ACTION_0620,3798,Platinum,1731375817467
ACTION_0621,5465,Platinum,1748625753550
ACTION_0622,7446,Platinum,1730182616536
ACTION_0623,5265,Bronze,1721314241582
ACTION_0624,4958,Platinum,1729009589253
ACTION_0625,9943,Silver,1722895091427
ACTION_0626,6126,Bronze,1724857075737
ACTION_0627,1888,Silver,1743655527413
ACTION_0628,4656,Silver,1731996325458
ACTION_0629,,Platinum,1747204029135
ACTION_0630,7509,,1730897730438
ACTION_0631,9449,Silver,1725453423337
ACTION_0632,6703,Platinum,1741511482111
ACTION_0633,3798,Gold,1747767302442
ACTION_0634,8966,Silver,1743956793091
ACTION_0635,9654,Silver,1735046541680
ACTION_0636,9469,Silver,1747115157575
ACTION_0637,8265,Gold,1726402249199
ACTION_0638,4779,Platinum,1748366983394
ACTION_0639,1044,Gold,1731492958650
ACTION_0640,,Gold,1738180712441
ACTION_0641,8803,,1749972900203
ACTION_0642,967,Platinum,1721885779757
ACTION_0643,6325,Platinum,1746664357931
ACTION_0644,2882,Platinum,1721303802179
ACTION_0645,2743,Silver,1731215936598
ACTION_0646,9683,Platinum,1742867779060
ACTION_0647,,,1729480870214
ACTION_0648,615,,1736671920211
ACTION_0649,1120,Gold,1734337937087
ACTION_0650,6591,Bronze,1750013491078
ACTION_0651,6114,Bronze,1719209029016
ACTION_0652,,Bronze,1749230725667
ACTION_0653,5701,Silver,1740565435954
ACTION_0654,8403,Silver,1730898504740
ACTION_0655,3553,Bronze,1720225067506
ACTION_0656,4759,Silver,1748415979965
ACTION_0657,,Gold,1733480117055
ACTION_0658,450,Platinum,1720799659710
ACTION_0659,1918,,1749554812655
ACTION_0660,5526,Silver,1729441597664
ACTION_0661,9878,Silver,1730588088666
ACTION_0662,,Silver,1733712224862
ACTION_0663,2889,Silver,1734483771540
ACTION_0664,7186,,1733796136656
ACTION_0665,4855,Silver,1734861068114
ACTION_0666,3506,,1719375739721
ACTION_0667,5150,Bronze,1738556351555
ACTION_0668,8013,Silver,1731584220009
ACTION_0669,8103,Gold,1735480928363
ACTION_0670,6543,Bronze,1745930829130
ACTION_0671,2171,,1718900493391
ACTION_0672,,Bronze,1719170773112
ACTION_0673,8024,,1744720123799
