item_id,reward_category,reward_type,reward_value
item_0343,entertainment,cashback,25.84
item_0198,finance,cashback,21.18
item_0412,entertainment,tip,0.0
item_0346,education,tip,0.0
item_0444,education,cashback,22.35
item_0475,finance,course,0.0
item_0039,shopping,tip,0.0
item_0263,entertainment,free_shipping,0.0
item_0389,entertainment,tip,0.0
item_0409,education,cashback,44.07
item_0250,entertainment,tip,0.0
item_0126,shopping,tip,0.0
item_0322,finance,course,0.0
item_0365,entertainment,free_shipping,0.0
item_0077,shopping,tip,0.0
item_0157,entertainment,percentage_discount,9.95
item_0010,finance,percentage_discount,43.89
item_0381,education,cashback,33.97
item_0340,finance,course,0.0
item_0091,shopping,cashback,4.06
item_0224,shopping,free_shipping,0.0
item_0020,entertainment,percentage_discount,48.7
item_0390,shopping,tip,0.0
item_0466,entertainment,cashback,8.12
item_0075,shopping,tip,0.0
item_0333,entertainment,percentage_discount,20.73
item_0345,entertainment,percentage_discount,29.45
item_0251,finance,tip,0.0
item_0096,finance,course,0.0
item_0103,finance,cashback,27.86
item_0244,shopping,course,0.0
item_0392,education,course,0.0
item_0130,finance,tip,0.0
item_0111,finance,percentage_discount,1.83
item_0442,entertainment,percentage_discount,43.89
item_0206,shopping,cashback,37.79
item_0193,finance,free_shipping,0.0
item_0494,shopping,course,0.0
item_0243,entertainment,cashback,8.08
item_0324,education,percentage_discount,13.47
item_0121,shopping,percentage_discount,13.75
item_0435,shopping,percentage_discount,34.2
item_0370,education,tip,0.0
item_0348,finance,percentage_discount,48.5
item_0447,education,free_shipping,0.0
item_0160,shopping,free_shipping,0.0
item_0445,education,course,0.0
item_0434,education,percentage_discount,23.13
item_0181,education,percentage_discount,32.28
item_0463,education,course,0.0
item_0407,finance,free_shipping,0.0
item_0368,entertainment,tip,0.0
item_0438,finance,cashback,38.41
item_0462,entertainment,percentage_discount,42.53
item_0186,entertainment,free_shipping,0.0
item_0423,finance,free_shipping,0.0
item_0080,education,tip,0.0
item_0200,education,cashback,35.8
item_0083,shopping,tip,0.0
item_0158,shopping,percentage_discount,15.52
item_0218,education,percentage_discount,20.22
item_0490,education,percentage_discount,5.51
item_0254,finance,cashback,12.28
item_0266,education,tip,0.0
item_0047,education,percentage_discount,19.55
item_0486,finance,course,0.0
item_0328,education,percentage_discount,0.65
item_0027,education,cashback,45.78
item_0202,education,tip,0.0
item_0295,entertainment,cashback,22.0
item_0332,education,cashback,31.94
item_0208,entertainment,tip,0.0
item_0028,finance,tip,0.0
item_0038,finance,tip,0.0
item_0399,education,percentage_discount,14.48
item_0314,entertainment,percentage_discount,18.56
item_0477,education,free_shipping,0.0
item_0108,shopping,cashback,10.57
item_0374,finance,cashback,25.5
item_0316,education,tip,0.0
item_0372,entertainment,cashback,3.73
item_0443,education,free_shipping,0.0
item_0116,shopping,course,0.0
item_0455,finance,percentage_discount,36.46
item_0413,shopping,free_shipping,0.0
item_0175,entertainment,free_shipping,0.0
item_0262,shopping,free_shipping,0.0
item_0241,finance,free_shipping,0.0
item_0195,entertainment,course,0.0
item_0203,finance,free_shipping,0.0
item_0498,education,free_shipping,0.0
item_0355,finance,course,0.0
item_0482,finance,percentage_discount,33.13
item_0313,finance,tip,0.0
item_0018,education,free_shipping,0.0
item_0282,shopping,percentage_discount,49.42
item_0017,shopping,tip,0.0
item_0196,shopping,tip,0.0
item_0359,education,tip,0.0
item_0233,education,course,0.0
item_0406,finance,course,0.0
item_0337,shopping,cashback,19.05
item_0164,finance,course,0.0
item_0139,finance,course,0.0
item_0247,shopping,course,0.0
item_0221,shopping,free_shipping,0.0
item_0177,shopping,free_shipping,0.0
item_0289,education,cashback,21.83
item_0280,shopping,cashback,29.72
item_0297,shopping,free_shipping,0.0
item_0172,shopping,cashback,16.92
item_0459,entertainment,course,0.0
item_0304,education,percentage_discount,38.13
item_0453,education,cashback,49.06
