corridor_id,success_rate_7d,latency_ms,cost_score,status,corridor_type,past_retry_success_rate,label
SG_US,0.87,125,0.73,BLOCKED,secondary,0.79,0
EU_IN,0.71,260,0.33,ACTIVE,secondary,0.46,1
IN_US,0.25,94,0.47,ACTIVE,secondary,0.88,1
EU_IN,0.92,82,0.47,BLOCKED,secondary,0.44,1
IN_SG,0.62,379,0.78,ACTIVE,secondary,0.74,1
IN_SG,0.61,293,0.21,ACTIVE,primary,0.3,0
IN_EU,0.33,97,0.11,ACTIVE,primary,0.26,0
EU_US,0.46,345,0.41,ACTIVE,primary,0.83,1
EU_IN,0.45,425,0.32,ACTIVE,primary,0.62,0
IN_US,0.21,227,0.42,BLOCKED,primary,0.94,0
IN_US,0.76,464,0.11,ACTIVE,primary,0.77,1
EU_IN,0.28,152,0.14,ACTIVE,secondary,0.41,1
IN_SG,0.85,103,0.51,ACTIVE,primary,0.62,1
SG_US,0.26,371,0.28,BLOCKED,secondary,0.77,0
SG_US,0.53,238,0.55,ACTIVE,primary,0.63,1
IN_EU,0.2,295,0.3,ACTIVE,primary,0.23,0
IN_US,0.21,154,0.66,ACTIVE,secondary,0.38,0
EU_IN,0.37,366,0.26,ACTIVE,secondary,0.41,1
IN_US,0.35,489,0.9,ACTIVE,primary,0.52,1
IN_SG,0.21,386,0.51,ACTIVE,secondary,0.87,1
IN_US,0.76,273,0.65,ACTIVE,secondary,0.8,1
SG_US,0.22,356,0.76,ACTIVE,primary,0.88,0
EU_IN,0.28,472,0.65,ACTIVE,primary,0.87,1
IN_EU,0.82,433,0.22,ACTIVE,primary,0.41,1
IN_SG,0.23,433,0.93,ACTIVE,secondary,0.45,0
IN_SG,0.69,58,0.92,ACTIVE,primary,0.57,0
IN_EU,0.64,71,0.22,ACTIVE,secondary,0.5,1
EU_IN,0.96,477,0.21,ACTIVE,primary,0.94,1
IN_US,0.44,90,0.25,ACTIVE,primary,0.54,1
EU_IN,0.4,329,0.85,ACTIVE,primary,0.75,1
SG_US,0.85,81,0.66,ACTIVE,secondary,0.77,1
IN_US,0.39,486,0.7,ACTIVE,secondary,0.87,1
IN_US,0.23,225,0.26,ACTIVE,secondary,0.33,0
EU_IN,0.54,440,0.62,BLOCKED,secondary,0.35,0
EU_IN,0.36,389,0.88,ACTIVE,secondary,0.69,1
SG_US,0.67,163,1.0,BLOCKED,secondary,0.47,0
IN_US,0.48,338,0.53,ACTIVE,primary,0.58,1
IN_SG,0.79,262,0.96,BLOCKED,secondary,0.4,1
IN_US,0.7,103,0.31,ACTIVE,secondary,0.27,1
IN_SG,0.84,149,0.68,BLOCKED,primary,0.64,0
EU_US,0.71,494,0.97,ACTIVE,secondary,0.38,0
IN_SG,0.97,168,0.43,ACTIVE,secondary,0.54,1
IN_US,0.37,261,0.19,BLOCKED,secondary,0.95,0
SG_US,0.43,432,0.31,ACTIVE,secondary,0.48,0
IN_EU,0.52,226,0.84,ACTIVE,primary,0.22,1
IN_SG,0.63,454,0.59,BLOCKED,primary,0.85,0
EU_US,0.59,370,0.45,ACTIVE,secondary,0.64,0
EU_IN,0.5,117,0.37,BLOCKED,secondary,0.68,0
IN_EU,0.89,119,0.63,BLOCKED,secondary,0.21,0
IN_EU,0.24,91,0.1,ACTIVE,secondary,0.49,0
SG_US,0.31,146,0.2,ACTIVE,primary,0.55,0
IN_US,0.69,64,0.93,ACTIVE,primary,0.99,1
EU_US,0.58,82,0.53,ACTIVE,secondary,0.64,1
IN_SG,0.64,376,0.95,ACTIVE,secondary,0.99,1
EU_IN,0.82,122,0.32,BLOCKED,secondary,0.51,0
EU_IN,0.21,406,0.65,ACTIVE,secondary,0.74,0
SG_US,0.67,405,0.2,ACTIVE,secondary,0.63,0
SG_US,0.73,169,0.28,ACTIVE,primary,0.95,1
IN_US,0.27,370,0.86,BLOCKED,primary,0.63,0
IN_US,0.51,477,0.44,ACTIVE,primary,0.61,0
IN_US,0.8,345,0.6,ACTIVE,secondary,0.93,1
EU_US,0.29,406,0.95,BLOCKED,primary,0.93,0
IN_US,0.63,447,0.76,ACTIVE,primary,0.3,1
EU_IN,0.37,166,0.55,ACTIVE,primary,0.79,0
IN_EU,0.98,339,0.47,ACTIVE,secondary,0.32,1
IN_EU,0.55,205,0.88,ACTIVE,secondary,0.62,1
IN_SG,0.87,333,0.6,ACTIVE,primary,0.58,1
EU_US,0.69,89,0.13,ACTIVE,secondary,0.98,0
SG_US,0.79,396,0.95,ACTIVE,primary,0.95,0
EU_US,0.8,449,0.72,ACTIVE,primary,0.51,1
IN_EU,0.9,222,0.44,ACTIVE,primary,0.48,1
EU_IN,0.91,275,0.52,ACTIVE,primary,0.5,1
EU_IN,0.44,166,0.93,ACTIVE,primary,0.69,0
IN_EU,0.91,50,0.57,ACTIVE,secondary,0.54,1
EU_US,0.54,317,0.34,ACTIVE,primary,0.73,1
IN_SG,0.43,144,0.94,BLOCKED,secondary,0.69,0
IN_EU,0.41,280,0.12,ACTIVE,secondary,0.48,0
IN_EU,0.61,492,0.15,ACTIVE,primary,0.37,0
IN_EU,0.88,456,0.49,ACTIVE,primary,0.56,1
IN_SG,0.5,306,0.7,ACTIVE,secondary,0.6,0
IN_EU,0.82,370,0.53,ACTIVE,primary,0.77,1
IN_SG,0.43,369,0.65,BLOCKED,primary,0.53,0
IN_EU,0.38,61,0.75,ACTIVE,secondary,0.54,0
IN_SG,0.67,418,0.57,ACTIVE,secondary,0.37,1
EU_IN,0.68,292,0.76,ACTIVE,secondary,0.2,0
SG_US,0.85,423,0.76,ACTIVE,secondary,0.82,1
EU_US,0.77,494,0.58,ACTIVE,primary,0.37,1
IN_SG,0.25,155,0.79,ACTIVE,secondary,0.48,0
SG_US,0.31,81,0.15,ACTIVE,secondary,0.93,1
IN_US,0.42,351,0.13,ACTIVE,secondary,0.62,1
IN_SG,0.2,95,0.86,ACTIVE,primary,0.87,0
SG_US,0.68,199,0.54,ACTIVE,secondary,0.74,0
IN_EU,0.63,206,0.54,ACTIVE,primary,0.58,0
IN_US,0.4,366,0.9,ACTIVE,secondary,0.98,0
EU_IN,0.27,477,0.5,ACTIVE,secondary,0.97,1
IN_US,0.37,444,0.38,ACTIVE,secondary,0.97,0
SG_US,0.8,178,0.65,BLOCKED,primary,0.86,0
SG_US,0.32,491,0.33,ACTIVE,primary,0.21,1
IN_SG,0.85,328,0.14,ACTIVE,secondary,0.98,0
EU_US,0.49,499,0.35,ACTIVE,primary,0.49,1
SG_US,0.71,265,0.85,ACTIVE,secondary,0.55,0
EU_US,0.93,206,0.91,ACTIVE,primary,0.56,1
IN_US,0.68,418,0.48,ACTIVE,secondary,0.27,0
SG_US,0.53,343,0.26,ACTIVE,primary,0.2,0
SG_US,0.82,270,0.89,BLOCKED,primary,0.73,0
EU_IN,0.8,252,0.33,BLOCKED,secondary,0.92,0
EU_IN,0.42,214,0.29,ACTIVE,primary,0.48,1
IN_US,0.23,56,0.75,ACTIVE,primary,0.56,0
EU_IN,0.69,294,0.51,ACTIVE,primary,0.71,1
IN_EU,0.79,381,0.71,ACTIVE,primary,0.65,1
EU_US,0.82,62,0.1,ACTIVE,primary,0.97,1
IN_SG,0.84,296,0.78,ACTIVE,secondary,0.56,0
IN_EU,0.7,327,0.34,BLOCKED,primary,0.81,0
IN_EU,0.86,275,0.82,ACTIVE,primary,0.44,1
EU_IN,0.34,462,0.41,ACTIVE,secondary,0.31,0
SG_US,0.27,275,0.89,ACTIVE,primary,0.42,0
IN_US,0.53,118,0.17,ACTIVE,secondary,0.64,1
EU_US,0.51,337,0.99,ACTIVE,secondary,0.31,0
IN_EU,0.68,441,0.78,ACTIVE,secondary,0.54,0
IN_US,0.59,209,0.44,ACTIVE,secondary,0.91,0
EU_IN,0.31,474,0.26,ACTIVE,secondary,0.25,0
SG_US,0.91,288,0.86,ACTIVE,primary,0.69,1
IN_SG,0.27,88,0.53,ACTIVE,secondary,0.26,1
EU_US,0.59,124,0.57,ACTIVE,primary,0.28,1
IN_EU,0.92,125,0.43,BLOCKED,primary,0.27,0
EU_US,0.9,443,0.5,ACTIVE,secondary,0.82,1
IN_EU,0.4,494,0.82,BLOCKED,secondary,0.81,0
EU_IN,0.82,194,0.22,ACTIVE,primary,0.84,1
IN_EU,0.42,257,0.93,ACTIVE,primary,0.4,1
IN_US,0.86,74,0.41,ACTIVE,primary,0.67,1
IN_SG,0.69,156,0.71,ACTIVE,primary,0.28,0
IN_US,0.46,348,0.44,ACTIVE,primary,0.21,1
IN_SG,0.33,318,0.76,ACTIVE,secondary,0.64,0
IN_US,0.41,283,0.12,ACTIVE,secondary,0.43,1
SG_US,0.84,131,0.82,ACTIVE,primary,0.24,1
EU_US,0.37,263,0.47,ACTIVE,secondary,0.43,0
SG_US,0.7,315,0.28,BLOCKED,secondary,0.56,0
IN_EU,0.7,76,0.38,ACTIVE,primary,0.41,1
EU_IN,0.99,298,0.67,BLOCKED,secondary,0.61,0
EU_IN,0.35,228,0.21,ACTIVE,primary,0.38,0
IN_EU,0.93,237,0.98,ACTIVE,secondary,0.69,1
EU_IN,0.25,407,0.69,ACTIVE,secondary,0.47,0
IN_US,0.63,92,0.59,ACTIVE,primary,0.87,1
IN_EU,0.58,198,0.45,ACTIVE,primary,0.49,1
IN_EU,0.65,389,0.98,ACTIVE,secondary,0.22,1
SG_US,0.38,244,0.4,ACTIVE,primary,0.84,1
EU_US,0.26,277,0.43,ACTIVE,primary,0.87,1
IN_SG,0.44,235,0.14,BLOCKED,primary,0.28,0
IN_US,0.99,126,0.19,ACTIVE,primary,0.66,1
IN_EU,0.55,144,0.6,ACTIVE,secondary,0.68,1
EU_IN,0.98,400,0.79,ACTIVE,secondary,0.69,1
EU_US,0.41,500,0.51,ACTIVE,secondary,0.75,1
IN_US,0.81,132,0.75,ACTIVE,secondary,0.46,1
EU_US,0.52,262,0.99,ACTIVE,secondary,0.87,0
EU_IN,0.5,445,0.44,ACTIVE,secondary,0.99,1
IN_EU,0.39,363,0.36,ACTIVE,secondary,0.88,0
SG_US,0.78,235,0.67,BLOCKED,primary,0.52,0
SG_US,0.76,436,0.78,ACTIVE,primary,0.73,0
IN_US,0.73,162,0.98,ACTIVE,secondary,0.57,1
EU_US,0.54,398,0.66,ACTIVE,secondary,0.61,1
IN_SG,0.26,99,0.98,ACTIVE,primary,0.51,1
IN_SG,0.24,385,0.46,ACTIVE,primary,0.24,1
IN_EU,0.92,274,0.9,ACTIVE,secondary,0.55,1
EU_US,0.35,138,0.11,ACTIVE,primary,0.54,0
IN_EU,0.84,405,0.5,BLOCKED,secondary,0.59,0
SG_US,0.81,68,0.32,ACTIVE,secondary,0.49,1
IN_EU,0.3,319,0.67,BLOCKED,secondary,0.62,0
IN_US,0.46,75,0.17,ACTIVE,secondary,0.75,1
EU_IN,0.28,281,0.6,ACTIVE,secondary,0.96,0
EU_US,0.36,463,0.41,ACTIVE,primary,0.48,0
EU_IN,0.45,138,0.94,ACTIVE,secondary,0.32,1
EU_IN,0.84,474,0.87,ACTIVE,secondary,0.42,1
IN_EU,0.66,287,0.58,ACTIVE,primary,0.62,0
SG_US,0.62,358,0.16,ACTIVE,primary,0.55,1
SG_US,0.38,178,0.66,ACTIVE,secondary,0.65,0
IN_US,0.69,461,0.63,ACTIVE,secondary,0.83,1
EU_US,0.58,349,0.4,ACTIVE,secondary,0.64,0
SG_US,0.39,452,0.37,ACTIVE,secondary,0.43,1
EU_US,0.27,309,0.88,ACTIVE,secondary,0.24,0
IN_EU,0.73,300,0.95,ACTIVE,primary,0.3,0
EU_IN,0.72,497,0.96,ACTIVE,primary,0.9,1
EU_US,0.41,469,0.53,ACTIVE,primary,0.35,0
IN_US,0.9,185,0.72,ACTIVE,primary,0.8,1
SG_US,0.52,167,0.31,ACTIVE,primary,0.31,1
IN_US,0.64,112,0.53,ACTIVE,secondary,0.97,0
SG_US,0.92,480,0.45,ACTIVE,primary,0.29,1
IN_SG,0.7,371,0.32,ACTIVE,primary,0.82,0
IN_SG,0.3,487,0.16,ACTIVE,secondary,0.46,1
SG_US,0.38,276,0.16,BLOCKED,primary,0.82,0
IN_US,0.75,460,0.93,ACTIVE,primary,0.76,1
IN_EU,0.87,437,0.98,ACTIVE,primary,0.88,1
IN_SG,0.58,63,0.55,BLOCKED,secondary,0.83,0
IN_EU,0.95,65,0.75,BLOCKED,primary,0.97,0
IN_US,0.49,323,0.41,ACTIVE,secondary,0.62,1
EU_US,0.61,253,0.7,ACTIVE,primary,0.92,1
SG_US,0.43,73,0.48,ACTIVE,primary,0.79,1
IN_US,0.5,382,0.13,BLOCKED,primary,0.91,1
EU_IN,0.67,435,0.21,ACTIVE,primary,0.31,0
EU_IN,0.8,456,0.39,ACTIVE,secondary,0.88,1
SG_US,0.21,200,0.59,ACTIVE,secondary,0.93,1
IN_EU,0.64,500,0.42,ACTIVE,primary,0.41,0
IN_EU,0.51,432,0.84,ACTIVE,secondary,0.5,1
IN_EU,0.97,470,0.95,ACTIVE,secondary,0.61,1
IN_US,0.21,247,0.83,ACTIVE,secondary,0.51,0
SG_US,0.7,245,0.84,ACTIVE,secondary,0.92,0
IN_SG,0.79,86,0.64,ACTIVE,primary,0.44,1
IN_EU,0.2,349,0.7,ACTIVE,secondary,0.39,0
SG_US,0.68,425,0.93,ACTIVE,primary,0.44,0
SG_US,0.5,223,0.87,ACTIVE,secondary,0.53,0
EU_US,0.26,318,0.85,ACTIVE,primary,0.78,1
EU_IN,0.29,279,0.39,ACTIVE,secondary,0.97,0
EU_US,0.94,439,0.67,ACTIVE,primary,0.76,1
IN_US,0.75,283,0.66,ACTIVE,primary,0.53,1
IN_SG,0.59,323,0.15,ACTIVE,primary,0.2,0
SG_US,0.56,325,0.94,ACTIVE,primary,0.9,1
EU_IN,0.33,130,0.23,BLOCKED,primary,0.57,0
EU_IN,0.55,173,0.7,ACTIVE,primary,0.55,1
IN_EU,0.91,436,0.56,ACTIVE,secondary,0.48,1
SG_US,0.5,177,0.31,ACTIVE,primary,0.47,1
IN_EU,0.96,453,0.21,ACTIVE,primary,0.63,1
EU_IN,0.75,290,0.66,ACTIVE,primary,0.91,0
IN_US,0.79,476,0.64,ACTIVE,primary,0.89,1
EU_US,0.93,288,0.23,ACTIVE,secondary,0.24,1
EU_US,0.23,254,0.45,ACTIVE,primary,0.61,0
IN_SG,0.75,315,0.59,ACTIVE,primary,0.4,1
IN_EU,0.56,436,0.22,ACTIVE,secondary,0.93,1
IN_EU,0.51,288,0.21,ACTIVE,secondary,0.29,0
EU_US,0.94,492,0.42,ACTIVE,secondary,0.92,1
IN_EU,0.73,195,0.12,ACTIVE,primary,0.43,1
IN_US,0.23,479,0.67,ACTIVE,primary,0.56,0
EU_US,0.41,219,0.54,ACTIVE,secondary,0.23,0
IN_SG,0.5,437,0.63,ACTIVE,secondary,0.68,1
IN_SG,0.78,370,0.36,ACTIVE,secondary,0.36,1
SG_US,0.8,373,0.95,ACTIVE,primary,0.77,1
IN_EU,0.71,292,0.89,BLOCKED,primary,0.5,0
IN_SG,0.52,116,0.59,ACTIVE,primary,0.3,1
EU_IN,0.2,401,0.21,ACTIVE,primary,0.55,1
EU_IN,0.23,128,0.71,ACTIVE,secondary,0.61,0
IN_SG,0.62,197,0.88,ACTIVE,secondary,0.52,1
IN_EU,0.86,128,0.52,ACTIVE,primary,0.75,1
IN_SG,0.45,288,0.64,ACTIVE,secondary,0.32,0
EU_US,0.82,340,0.4,ACTIVE,secondary,0.81,1
IN_SG,0.22,367,0.4,ACTIVE,primary,0.35,1
IN_US,0.76,489,0.58,ACTIVE,primary,0.52,0
IN_EU,0.73,393,0.61,ACTIVE,primary,0.76,1
IN_US,0.57,452,0.54,ACTIVE,secondary,0.5,1
EU_IN,0.24,414,0.4,ACTIVE,primary,0.91,1
SG_US,0.23,242,0.86,ACTIVE,secondary,0.76,0
IN_US,0.98,443,0.53,ACTIVE,primary,0.31,0
SG_US,0.45,487,0.36,ACTIVE,secondary,0.8,0
SG_US,0.52,327,0.6,ACTIVE,secondary,0.92,1
SG_US,0.46,53,0.91,ACTIVE,primary,0.83,1
EU_US,0.73,92,0.94,ACTIVE,secondary,0.41,1
EU_US,0.24,421,0.78,BLOCKED,primary,0.57,0
SG_US,0.84,255,0.24,ACTIVE,secondary,0.45,1
IN_US,0.59,338,0.79,BLOCKED,secondary,0.3,0
EU_US,0.26,484,0.87,ACTIVE,secondary,0.65,0
EU_IN,0.89,209,0.64,ACTIVE,secondary,0.95,1
IN_SG,0.97,458,0.22,BLOCKED,secondary,0.38,0
IN_EU,0.58,381,0.19,BLOCKED,primary,0.62,0
IN_US,0.77,459,0.2,ACTIVE,primary,0.65,1
SG_US,0.76,495,0.71,ACTIVE,primary,0.54,1
SG_US,0.6,385,0.39,ACTIVE,secondary,0.74,1
IN_US,0.34,430,0.66,ACTIVE,secondary,0.43,0
IN_US,0.7,401,0.18,BLOCKED,primary,0.69,0
EU_IN,0.28,194,0.96,ACTIVE,secondary,0.73,1
IN_US,0.73,164,0.36,ACTIVE,secondary,0.6,0
EU_US,0.49,438,0.97,ACTIVE,secondary,0.6,1
IN_US,0.61,101,0.1,ACTIVE,primary,0.23,0
SG_US,0.3,143,0.24,ACTIVE,primary,0.53,0
SG_US,0.85,175,0.9,BLOCKED,secondary,0.55,0
EU_US,0.6,176,0.94,ACTIVE,primary,0.83,0
IN_US,0.4,495,0.61,ACTIVE,secondary,0.77,0
IN_US,0.9,438,0.57,ACTIVE,primary,0.75,0
IN_EU,0.56,128,0.67,ACTIVE,primary,0.87,1
EU_IN,0.31,241,0.71,ACTIVE,primary,0.78,0
IN_EU,0.68,365,0.84,ACTIVE,primary,0.4,1
IN_SG,0.36,434,0.83,ACTIVE,primary,0.71,0
IN_EU,0.96,80,0.61,BLOCKED,primary,0.73,0
EU_US,0.76,312,0.12,ACTIVE,primary,0.63,1
SG_US,0.48,249,0.39,ACTIVE,primary,0.9,0
SG_US,0.75,101,0.13,ACTIVE,secondary,0.67,0
SG_US,0.31,376,0.18,ACTIVE,secondary,0.65,0
SG_US,0.76,95,0.18,ACTIVE,secondary,0.54,1
EU_US,0.4,463,0.59,ACTIVE,secondary,0.74,1
EU_US,0.54,259,0.99,ACTIVE,primary,0.6,1
SG_US,0.91,227,0.82,ACTIVE,primary,0.57,1
IN_US,0.48,252,0.94,ACTIVE,primary,0.88,0
SG_US,0.67,84,0.86,ACTIVE,primary,0.8,0
EU_US,0.4,67,0.4,ACTIVE,secondary,0.38,0
EU_IN,0.61,199,0.72,ACTIVE,secondary,0.79,0
IN_EU,0.39,203,0.15,ACTIVE,primary,0.98,0
IN_SG,0.6,343,0.12,ACTIVE,secondary,0.29,1
SG_US,0.33,424,0.58,ACTIVE,primary,0.28,1
IN_SG,0.41,350,0.43,ACTIVE,primary,0.29,0
EU_IN,0.28,317,0.91,ACTIVE,primary,0.61,1
SG_US,0.81,305,0.76,ACTIVE,primary,0.85,0
IN_EU,0.79,377,0.73,ACTIVE,primary,0.44,0
EU_IN,0.96,322,0.34,ACTIVE,secondary,0.36,1
IN_US,0.28,279,0.51,ACTIVE,primary,0.54,0
EU_IN,0.26,417,0.76,ACTIVE,secondary,0.5,0
IN_EU,0.49,481,0.85,ACTIVE,primary,0.88,0
IN_US,0.23,87,0.95,ACTIVE,secondary,0.86,0
IN_US,0.55,112,0.17,ACTIVE,primary,0.74,1
IN_EU,0.85,282,0.2,ACTIVE,primary,0.23,1
EU_US,0.4,319,0.17,ACTIVE,secondary,0.62,1
EU_US,0.49,55,0.18,ACTIVE,primary,0.28,0
IN_SG,0.43,279,0.18,ACTIVE,secondary,0.24,0
IN_EU,0.23,470,0.78,ACTIVE,primary,0.31,0
EU_US,0.21,360,0.81,ACTIVE,primary,0.52,0
IN_SG,0.93,133,0.57,BLOCKED,primary,0.37,0
EU_IN,0.21,135,0.76,ACTIVE,secondary,0.51,1
EU_IN,0.26,358,0.24,ACTIVE,primary,0.54,1
IN_SG,0.76,96,0.63,ACTIVE,secondary,0.28,1
EU_US,0.69,193,0.58,ACTIVE,primary,0.66,1
IN_US,0.84,350,1.0,ACTIVE,primary,0.38,1
IN_US,0.89,375,0.7,ACTIVE,secondary,0.63,1
EU_IN,0.96,174,0.99,ACTIVE,secondary,0.51,0
EU_US,0.21,63,0.39,ACTIVE,secondary,0.24,1
SG_US,0.3,191,0.39,ACTIVE,primary,0.25,0
IN_EU,0.82,184,0.63,ACTIVE,primary,0.97,1
EU_US,0.57,108,0.64,ACTIVE,primary,0.75,1
IN_EU,0.57,219,0.96,ACTIVE,primary,0.31,0
SG_US,0.25,489,0.65,BLOCKED,secondary,0.82,0
IN_SG,0.26,104,0.65,ACTIVE,primary,0.83,1
SG_US,0.89,272,0.26,ACTIVE,primary,0.83,0
IN_SG,0.97,389,0.83,BLOCKED,secondary,0.64,0
EU_US,0.74,155,0.68,BLOCKED,secondary,0.52,0
SG_US,0.46,151,0.75,ACTIVE,secondary,0.85,0
IN_US,0.82,272,0.64,ACTIVE,secondary,0.74,1
IN_US,0.72,446,0.46,ACTIVE,primary,0.7,1
EU_US,0.56,464,0.77,ACTIVE,primary,0.71,0
SG_US,0.44,240,0.91,ACTIVE,primary,0.72,0
EU_IN,0.75,185,0.22,ACTIVE,primary,0.89,1
SG_US,0.5,271,0.4,BLOCKED,secondary,0.73,0
EU_IN,0.38,492,0.32,ACTIVE,secondary,0.3,1
